Venus,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EF,1460235.226,-715,11,27,17.43333,246.73526,-0.60549,239.05365,63.60913,0,69.39348,-5.09915
EL,1460484.308,-714,8,3,19.38444,139.98726,-7.29306,122.61291,99.49162,0,117.41521,-5.76648
MF,1460501.703,-714,8,21,4.88389,130.43926,-8.63801,139.60313,258.80667,0,247.95698,-6.38171
ML,1460753.709,-713,4,30,5.0225,20.88806,-1.02587,30.90671,261.43396,0,252.72357,-5.07374
EF,1460810.309,-713,6,25,19.405,90.40465,1.00681,84.82648,119.35903,0,121.74255,-5.14399
EL,1461080.271,-712,3,21,18.51472,358.55287,7.32361,353.71102,97.15701,0,90.52465,-5.7542
MF,1461082.742,-712,3,24,5.80389,356.99717,7.05854,356.10536,263.85913,0,268.63295,-5.28106
ML,1461351.774,-712,12,18,6.57417,254.3089,-0.34157,260.30322,297.41059,0,294.33168,-5.15694
EF,1461400.249,-711,2,4,17.965,314.91861,-1.43172,309.20978,68.86579,0,71.78317,-5.11325
EL,1461654.251,-711,10,16,18.01972,213.86512,-5.85392,196.3307,68.25096,0,85.83217,-5.70766
MF,1461669.743,-711,11,1,5.8375,205.48324,-2.8246,212.06808,284.79573,0,280.84928,-5.9821
ML,1461934.693,-710,7,24,4.6325,107.15153,1.03368,112.35955,241.9776,0,240.52671,-5.10779
EF,1461980.282,-710,9,7,18.77083,164.01362,1.22329,156.98774,98.78264,0,103.81266,-5.0613
EL,1462244.302,-709,5,29,19.24667,66.06161,-0.55361,59.13102,114.87418,0,118.17121,-6.12446
MF,1462255.685,-709,6,10,4.43611,59.23668,-3.07249,69.96678,249.68034,0,239.88052,-5.35807
ML,1462508.77,-708,2,18,6.48806,312.30685,-1.32861,321.9179,291.92816,0,283.71434,-5.18056
EF,1462566.279,-708,4,15,18.70528,23.25724,-0.52094,17.86222,100.16334,0,101.58029,-5.23208
