Saturn,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
AR,1446892.5,1446893.175,1446893.299,-751,5,18,19.16877,235.61691,1.62798,48.76479,291.53907,0,115.56358,-5.78339
CS,1446909.5,1446910.557,1446910.68,-751,6,5,4.32264,234.34859,1.60486,65.30181,68.81065,0,239.42046,-5.88665
EL,1447069.5,1447070.129,1447070.252,-751,11,11,18.0506,238.63661,1.1562,222.45279,67.04296,0,78.54839,-11.51672
MF,1447101.5,1447101.628,1447101.751,-751,12,13,6.02336,242.32492,1.12039,254.61208,293.956,0,289.85707,-11.64651
AR,1447269.5,1447270.181,1447270.305,-750,5,30,19.30964,246.89704,1.137,59.96154,294.97537,0,119.06895,-5.71716
CS,1447285.5,1447286.553,1447286.677,-750,6,16,4.24464,245.69629,1.11343,75.55416,65.2528,0,237.35364,-6.01982
EL,1447446.5,1447447.124,1447447.247,-750,11,23,17.93692,250.01142,0.72977,234.44979,63.91522,0,74.50673,-11.48978
MF,1447478.5,1447478.634,1447478.757,-750,12,25,6.16642,253.72537,0.69145,266.58667,296.75467,0,290.96133,-11.52277
AR,1447646.5,1447647.187,1447647.31,-749,6,11,19.45111,258.32938,0.59493,71.15835,297.47682,0,121.74068,-5.80149
CS,1447661.5,1447662.553,1447662.677,-749,6,27,4.23755,257.19449,0.57167,85.82236,62.62524,0,236.39882,-6.01154
EL,1447823.5,1447824.122,1447824.246,-749,12,5,17.89695,261.53216,0.26885,246.46107,61.81241,0,71.521,-11.5863
MF,1447856.5,1447856.637,1447856.76,-748,1,7,6.24112,265.39576,0.2278,279.53259,298.47985,0,290.48675,-11.70055
AR,1448023.5,1448024.192,1448024.316,-748,6,22,19.57968,269.97353,0.01898,82.37719,298.84231,0,123.43443,-6.05771
